"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical";1;"Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical";;;
2;"X1";"Crystal_HC49-4H_Vertical";1;"XTAL";;;
3;"U1";"DIP-18_W7.62mm";1;"PIC16F84A-XXP";;;
4;"SW1";"SW_PUSH-12mm";1;"Switch_SW_SPST";;;
5;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"330R";;;
6;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"10k";;;
7;"J2";"Molex_KK-254_AE-6410-11A_1x11_P2.54mm_Vertical";1;"Conn_01x11";;;
8;"J1";"Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical";1;"Conn_01x04_Male";;;
9;"D1";"LED_D5.0mm";1;"LED";;;
10;"C2,C1";"C_Disc_D7.5mm_W5.0mm_P5.00mm";2;"22pF";;;
